model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.725,0.7454545454545455,0.6833333333333333,0.7130434782608696,0.5808333333333333
linear_svm,0.725,0.7454545454545455,0.6833333333333333,0.7130434782608696,0.5808333333333334
random_forest,0.55,0.5394736842105263,0.6833333333333333,0.6029411764705882,0.5572222222222222
naive_bayes,0.725,0.7454545454545455,0.6833333333333333,0.7130434782608696,0.6002777777777778
